id,timestamp,sender,message,reply_to,reaction
1,2026-01-01 08:00:00,acc1,"Quote of the day: ""Power comes in response to a need."" ❤️",,😂
2,2026-01-01 08:02:00,acc2,Opening theme has been stuck in my head. 😂,,💯
3,2026-01-01 08:04:00,acc3,"Quote of the day: ""People's dreams never end."" ❤️",,😎
4,2026-01-01 08:06:00,acc4,No spoilers please! 🙌,,😭
5,2026-01-01 08:08:00,acc1,That animation quality was insane! 🙌,,😂
6,2026-01-01 08:10:00,acc2,That animation quality was insane! 😂,,👏
7,2026-01-01 08:12:00,acc3,My favorite moment in Steins;Gate still gives me chills ✨,4,❤️
8,2026-01-01 08:14:00,acc4,I think today's episode was incredible! 📚,6,❤️
9,2026-01-01 08:16:00,acc1,Who's your favorite character from Naruto? 🎉,7,🔥
10,2026-01-01 08:18:00,acc2,I think today's episode was incredible! ⚡,,👏
11,2026-01-01 08:20:00,acc3,My favorite moment in Fullmetal Alchemist still gives me chills 🙌,3,😎
12,2026-01-01 08:22:00,acc4,Who's your favorite character from Hunter x Hunter? 😭,9,🔥
13,2026-01-01 08:24:00,acc1,Anyone watching Solo Leveling lately? 🍜,7,😮
14,2026-01-01 08:26:00,acc2,I think today's episode was incredible! 📚,,😭
15,2026-01-01 08:28:00,acc3,Who's your favorite character from Haikyuu!!? 🔥,,😎
16,2026-01-01 08:30:00,acc4,Opening theme has been stuck in my head. 😭,,🔥
17,2026-01-01 08:32:00,acc1,Anyone watching Jujutsu Kaisen lately? 😂,3,😂
18,2026-01-01 08:34:00,acc2,That animation quality was insane! 😭,9,😎
19,2026-01-01 08:36:00,acc3,My favorite moment in Steins;Gate still gives me chills 💯,11,😮
20,2026-01-01 08:38:00,acc4,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 😭,15,😮
21,2026-01-01 08:40:00,acc1,Who's your favorite character from Demon Slayer? 🍜,13,
22,2026-01-01 08:42:00,acc2,Random anime fact: Voice actors in Japan are called seiyuu. 🎉,18,😎
23,2026-01-01 08:44:00,acc3,Anyone watching One Piece lately? ⚡,,👏
24,2026-01-01 08:46:00,acc4,Opening theme has been stuck in my head. ❤️,9,😭
25,2026-01-01 08:48:00,acc1,I'm rewatching Bleach this weekend. 🔥,11,😮
26,2026-01-01 08:50:00,acc2,"Quote of the day: ""Keep moving forward."" 🎉",16,👏
27,2026-01-01 08:52:00,acc3,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 😂",,👏
28,2026-01-01 08:54:00,acc4,Opening theme has been stuck in my head. ❤️,,❤️
29,2026-01-01 08:56:00,acc1,Anyone watching Naruto lately? 📚,14,😎
30,2026-01-01 08:58:00,acc2,No spoilers please! ❤️,,
31,2026-01-01 09:00:00,acc3,That animation quality was insane! 🎉,,❤️
32,2026-01-01 09:02:00,acc4,I'm rewatching Vinland Saga this weekend. 😭,16,❤️
33,2026-01-01 09:04:00,acc1,My favorite moment in Naruto still gives me chills 🎉,,🔥
34,2026-01-01 09:06:00,acc2,Who's your favorite character from My Hero Academia? 🔥,31,❤️
35,2026-01-01 09:08:00,acc3,No spoilers please! 😀,20,🔥
36,2026-01-01 09:10:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ⚡",34,👍
37,2026-01-01 09:12:00,acc1,Who's your favorite character from Demon Slayer? 😭,33,😭
38,2026-01-01 09:14:00,acc2,I'm rewatching Frieren this weekend. 💯,,😮
39,2026-01-01 09:16:00,acc3,No spoilers please! 🙌,,👏
40,2026-01-01 09:18:00,acc4,No spoilers please! ⚡,32,😂
41,2026-01-01 09:20:00,acc1,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🍜,,❤️
42,2026-01-01 09:22:00,acc2,Opening theme has been stuck in my head. 📚,,
43,2026-01-01 09:24:00,acc3,Opening theme has been stuck in my head. 😭,32,😮
44,2026-01-01 09:26:00,acc4,Who's your favorite character from Fullmetal Alchemist? ❤️,,😮
45,2026-01-01 09:28:00,acc1,I'm rewatching My Hero Academia this weekend. 😀,38,❤️
